Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Chandigarh,November,1954-1977,24,27.3,10.5,6.7,30.7333,76.7794
Chandigarh,December,1954-1977,24,22.1,6.7,18.9,30.7333,76.7794
Chennai (Minambakkam),January,1901-2000,100,28.8,20.4,35.3,13.0670,80.1693
Chennai (Minambakkam),February,1901-2000,100,30.5,21.1,13,13.0670,80.1693
Chennai (Minambakkam),March,1901-2000,100,32.6,23,14.5,13.0670,80.1693
Chennai (Minambakkam),April,1901-2000,100,34.7,25.8,15.9,13.0670,80.1693
Chennai (Minambakkam),May,1901-2000,100,37.4,27.6,42.4,13.0670,80.1693
Chennai (Minambakkam),June,1901-2000,100,37.3,27.4,53.9,13.0670,80.1693
Chennai (Minambakkam),July,1901-2000,100,35.3,26.1,99.6,13.0670,80.1693
Chennai (Minambakkam),August,1901-2000,100,34.5,25.5,129.9,13.0670,80.1693
Chennai (Minambakkam),September,1901-2000,100,33.9,25.2,123.5,13.0670,80.1693
Chennai (Minambakkam),October,1901-2000,100,31.8,24.2,284.6,13.0670,80.1693
Chennai (Minambakkam),November,1901-2000,100,29.4,22.6,353,13.0670,80.1693
Chennai (Minambakkam),December,1901-2000,100,28.4,21.2,146.3,13.0670,80.1693
Cherrapunji,January,1902-2000,99,15.7,7.3,19.2,25.3000,91.7000
Cherrapunji,February,1902-2000,99,17.1,8.9,51.5,25.3000,91.7000
Cherrapunji,March,1902-2000,99,20.4,12.5,223.1,25.3000,91.7000
Cherrapunji,April,1902-2000,99,21.9,14.6,684.1,25.3000,91.7000
Cherrapunji,May,1902-2000,99,22.4,16.1,1393.9,25.3000,91.7000
Cherrapunji,June,1902-2000,99,22.4,17.7,2597.5,25.3000,91.7000
Cherrapunji,July,1902-2000,99,22.4,18.2,2622,25.3000,91.7000
Cherrapunji,August,1902-2000,99,22.7,18.2,1793.5,25.3000,91.7000
Cherrapunji,September,1902-2000,99,23,17.8,1113,25.3000,91.7000
Cherrapunji,October,1902-2000,99,22.5,15.7,478,25.3000,91.7000
Cherrapunji,November,1902-2000,99,20.1,12,63.3,25.3000,91.7000
